Name,Age,Address
Bob,60.0,New York
John,26.0,Rome
David,,Tokyo
Emma,28.0,New York
Alice,,Moscow
Olivia,,
Emma,31.0,Sydney
Emma,41.0,Madrid
Sophia,46.0,Madrid
James,35.0,Rome
David,32.0,
Laura,44.0,Berlin
Alice,40.0,Moscow
John,52.0,Rome
Mike,34.0,Paris
James,42.0,Tokyo
Laura,34.0,London
Emma,35.0,New York
David,26.0,London
John,54.0,New York
Emma,42.0,London
Emma,47.0,
Mike,,Berlin
Alice,,Moscow
James,,Tokyo
Alice,58.0,Tokyo
Alice,38.0,New York
Bob,57.0,London
Sophia,,Tokyo
Alice,60.0,Rome
Emma,42.0,
Sophia,44.0,Moscow
Eve,,Sydney
James,30.0,
Alice,,New York
Alice,23.0,New York
David,52.0,Rome
Eve,39.0,Madrid
David,44.0,
Mike,30.0,Rome
Mike,40.0,
Eve,47.0,Tokyo
Olivia,24.0,Moscow
Olivia,50.0,New York
John,55.0,London
Alice,46.0,Sydney
Mike,23.0,London
Alice,20.0,London
Laura,52.0,London
Sophia,,Tokyo
Bob,38.0,Madrid
David,,New York
Sophia,59.0,New York
Emma,55.0,Tokyo
James,34.0,Madrid
Eve,57.0,Toronto
Alice,26.0,Madrid
James,,Moscow
Olivia,27.0,Sydney
Bob,22.0,Paris
Alice,60.0,Madrid
Olivia,,Toronto
Laura,49.0,Rome
Bob,,Tokyo
Mike,,New York
John,37.0,Moscow
Mike,42.0,London
Emma,,
James,47.0,
Emma,47.0,London
Bob,39.0,Tokyo
Laura,,London
Eve,41.0,London
Sophia,44.0,London
Eve,27.0,
Bob,46.0,Rome
Mike,32.0,London
Olivia,24.0,Berlin
John,43.0,Toronto
Sophia,53.0,Berlin
Bob,37.0,Toronto
Sophia,45.0,London
John,46.0,Toronto
David,28.0,Sydney
Emma,26.0,Madrid
Olivia,,Sydney
Bob,25.0,Tokyo
Eve,56.0,Moscow
Olivia,,
Olivia,45.0,Sydney
Mike,,
Olivia,33.0,London
Mike,53.0,Tokyo
Emma,,London
Laura,60.0,
Mike,26.0,Madrid
Bob,40.0,Berlin
Emma,37.0,Toronto
John,56.0,Madrid
Olivia,,Toronto
Eve,,Toronto
Sophia,23.0,New York
Alice,,Tokyo
Laura,44.0,Berlin
Alice,28.0,Rome
David,52.0,Berlin
Emma,53.0,Toronto
Emma,,Tokyo
David,,Toronto
David,22.0,Rome
David,39.0,Berlin
David,51.0,Tokyo
Eve,41.0,Berlin
Mike,35.0,Berlin
John,22.0,Madrid
Laura,32.0,Paris
James,41.0,Toronto
John,40.0,New York
Eve,50.0,Tokyo
Sophia,43.0,Sydney
Olivia,26.0,Berlin
David,44.0,London
James,52.0,
Olivia,38.0,Rome
Eve,52.0,Paris
Mike,22.0,Paris
Sophia,40.0,Madrid
Eve,60.0,Berlin
John,59.0,
Sophia,,
James,38.0,Rome
Sophia,,Moscow
Sophia,36.0,New York
Olivia,,Moscow
James,32.0,Moscow
Olivia,56.0,New York
John,46.0,Sydney
James,36.0,Berlin
Alice,47.0,
