Name,Age,Address
Mike,34.0,Moscow
Alice,43.0,Rome
Mike,42.0,Tokyo
David,51.0,New York
Emma,54.0,Toronto
Mike,,Sydney
John,51.0,Sydney
Sophia,45.0,New York
David,24.0,London
Bob,21.0,Sydney
Alice,40.0,Moscow
Alice,22.0,Toronto
Olivia,58.0,Moscow
Mike,24.0,Madrid
Mike,36.0,Tokyo
Mike,,Berlin
John,53.0,Tokyo
Mike,,Sydney
Sophia,53.0,Tokyo
Emma,37.0,
Laura,29.0,Tokyo
Laura,44.0,Rome
Laura,41.0,Moscow
Sophia,30.0,Berlin
Bob,43.0,Berlin
Sophia,58.0,Madrid
Eve,29.0,Berlin
James,31.0,Paris
Sophia,32.0,
Sophia,,Madrid
Alice,50.0,
Alice,51.0,Rome
David,23.0,Toronto
Emma,31.0,Tokyo
James,47.0,Paris
Sophia,54.0,Madrid
Alice,31.0,New York
David,,New York
James,,Sydney
Olivia,,
James,25.0,Berlin
Sophia,47.0,Moscow
Alice,38.0,Paris
Bob,20.0,Paris
Bob,29.0,Tokyo
David,46.0,Berlin
James,44.0,Paris
David,56.0,London
Eve,,Berlin
Emma,48.0,Rome
Eve,58.0,Moscow
David,,
Olivia,24.0,New York
Bob,28.0,Paris
David,33.0,
Mike,34.0,Madrid
Laura,34.0,Moscow
Laura,45.0,London
Olivia,21.0,Toronto
John,41.0,Tokyo
David,30.0,Rome
Bob,47.0,
Emma,,Rome
Laura,52.0,Madrid
David,33.0,Rome
Laura,51.0,Tokyo
Sophia,44.0,London
Olivia,46.0,London
Eve,,Tokyo
John,,
James,50.0,Berlin
James,31.0,Paris
Laura,24.0,Berlin
Olivia,39.0,Rome
John,29.0,Berlin
James,35.0,Berlin
John,39.0,Tokyo
Mike,54.0,Toronto
Emma,,
Bob,51.0,Tokyo
Laura,44.0,Sydney
Olivia,,Tokyo
Laura,41.0,Madrid
David,24.0,Tokyo
Eve,45.0,Toronto
Eve,45.0,Madrid
Alice,,Moscow
Emma,,Paris
Bob,50.0,Toronto
Olivia,57.0,Sydney
Sophia,,Tokyo
Eve,58.0,Madrid
James,51.0,Paris
Sophia,46.0,New York
David,35.0,New York
Emma,,Berlin
Laura,31.0,New York
John,60.0,Rome
Laura,45.0,Rome
James,36.0,New York
Emma,40.0,Moscow
Mike,34.0,Tokyo
Alice,42.0,Moscow
Sophia,,New York
Sophia,24.0,New York
David,33.0,New York
Mike,26.0,Madrid
Mike,38.0,Rome
James,,Moscow
Eve,21.0,New York
Mike,49.0,Tokyo
Olivia,47.0,Madrid
Laura,29.0,Sydney
John,60.0,Berlin
John,,Paris
Mike,26.0,
John,,Sydney
Emma,,Toronto
