Name,Age,Address
Eve,47.0,Toronto
Alice,60.0,London
Sophia,,Berlin
Sophia,40.0,Sydney
James,,
Olivia,34.0,Paris
David,57.0,Paris
Laura,22.0,
David,44.0,Toronto
David,50.0,Tokyo
Laura,35.0,New York
Sophia,42.0,New York
Olivia,56.0,New York
Alice,22.0,London
Emma,,Toronto
Laura,54.0,Berlin
Mike,,New York
John,53.0,
David,48.0,New York
David,,Sydney
Alice,31.0,Paris
James,51.0,London
Alice,56.0,Moscow
Emma,52.0,Paris
Laura,59.0,New York
David,31.0,Madrid
Mike,,Moscow
David,28.0,Moscow
Sophia,,Madrid
Bob,,
John,49.0,Tokyo
